group,Duration (in seconds),prolific_ID,1_Date_of_birth,Age,Gender,Education,Education_numeric,Income,Political,Platforms,Platforms_text,Using_PSPs,Using_Spotify,Personalization,Satisfaction,Personalization_satisfaction,understand_you,understand_other,benefit_1,benefit_4,benefit_5,fee,preferences_1,preferences_4,preferences_5,equal_fee,Fee_personalization,Fee_without_personalization,Personalization_fee_difference
control,158,605028139fe4e2cf15408d8b,2001,20,Male,High school,2,Less than $1999,Independent,YouTube Premium / YouTube Music,,1,0,Sometimes,Sometimes,3,Yes,No,3,3,2,6,4,4,4,They should be charged the same amount,6,6,0
control,206,6160c6dfef89b8106659ca5d,1990,31,Male,High school,2,Less than $1999,Democrat,,,0,0,,,0,Yes,No,3,2,5,6,5,3,4,They should be charged the same amount,6,6,0
control,97,59dd8d01ae9f950001d83c4b,1996,25,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Rarely,Rarely,2,Yes,No,3,3,3,5,3,3,3,They should be charged the same amount,5,5,0
control,642,576704bffdff7a0001c12890,1982,39,Non-binary / third gender,Graduate school,4,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Paramount Plus",,2,0,Never,,0,Yes,No,1,1,5,12,5,1,1,They should be charged the same amount,12,12,0
control,155,5a9c44d2f05361000172055b,1989,32,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Rarely,Rarely,2,Yes,No,3,3,4,10,4,2,3,They should be charged the same amount,10,10,0
control,267,610052fdb00d48e8cd442eb4,2000,21,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,3,2,4,10,5,2,3,They should be charged the same amount,10,10,0
control,130,5e9c5c896fe86217b8153a9f,1992,29,Male,College / university,3,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Netflix",,2,0,Sometimes,Sometimes,3,Yes,No,4,3,5,1,4,3,4,They should be charged the same amount,5,5,0
control,212,5eb81d360943fe74d6aba62b,1984,37,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,Other",Audible,2,0,Sometimes,Rarely,2,Yes,No,4,3,5,10,5,2,4,They should be charged the same amount,10,10,0
control,495,5d2787f7e9b2a00018221059,1988,33,Male,Graduate school,4,Prefer not to say,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,Paramount Plus",,2,0,Sometimes,Most of the time,4,Yes,No,5,2,4,10,5,2,4,They should be charged the same amount,10,10,0
control,267,5f9ebe0aef3e674711654bab,2002,19,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,No,4,2,4,10,4,2,4,They should be charged the same amount,8,8,0
control,232,5765c0fcf2e23200017ded5e,1992,29,Male,High school,2,Less than $1999,Independent,,,0,0,,,0,Yes,Yes,2,3,5,8,3,3,5,They should be charged the same amount,8,8,0
control,110,5f4a7f0a6254bb0a781681ae,1989,32,Male,Graduate school,4,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,1,4,5,4,1,5,They should be charged the same amount,5,5,0
control,358,5e4b0189cdf5a6011838a6a2,1981,40,Male,College / university,3,$20000 or more,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify,Other",Fubo,2,1,Sometimes,Sometimes,3,Yes,No,4,3,4,10,5,2,4,They should be charged the same amount,10,10,0
control,176,5f4ad34bfd49ef69235b0d6a,1989,32,Male,Graduate school,4,$20000 or more,Independent,"Amazon Prime / Amazon Music,Netflix,Peacock",,2,0,Rarely,Sometimes,3,Yes,Yes,4,4,5,10,5,4,4,They should be charged the same amount,10,10,0
control,143,5e8a26247ad7526bf85abbff,1998,23,Male,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Apple Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,5,4,4,5,5,1,5,They should be charged the same amount,6,6,0
control,184,5db7bd876c5fc8000adcc2ba,1976,45,Male,Graduate school,4,$2000 to $4999,Something else,,,0,0,,,0,Yes,No,3,3,4,20,5,3,1,They should be charged the same amount,5,5,0
control,127,6113c1210f68d711782822f5,1997,24,Male,College / university,3,$2000 to $4999,Independent,"Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Never,,0,Yes,No,2,2,5,10,3,3,4,They should be charged the same amount,10,10,0
control,150,60124cb4154c54274faac7c0,1995,26,Male,High school,2,$20000 or more,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,Yes,5,5,5,7,4,4,5,They should be charged the same amount,7,7,0
control,150,588908498fd7f00001d735f8,1987,34,Male,College / university,3,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Netflix",,2,0,Rarely,Rarely,2,Yes,No,4,2,4,3,5,2,4,User B,3,4,-1
control,134,60e9ff3b4cd77b7c3a6a01be,1995,26,Male,College / university,3,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,3,2,4,14,4,3,3,User A,15,10,5
control,164,60edb36db1761c42b182fe49,1986,35,Male,Graduate school,4,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Netflix,YouTube Premium / YouTube Music",,2,0,Sometimes,Sometimes,3,Yes,Yes,3,2,4,10,4,5,4,They should be charged the same amount,10,10,0
control,133,6030410afc65e0e87a56079c,1999,22,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Spotify",,2,1,Most of the time,Sometimes,3,Yes,Yes,4,4,5,5,4,2,5,They should be charged the same amount,5,5,0
control,686,5dd3d566e05cad3b130de19a,1981,40,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,2,2,5,10,5,1,2,They should be charged the same amount,9,9,0
control,131,5f48734f9e842533dfc67249,1996,25,Male,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,2,3,4,7,5,2,3,User B,7,5,2
control,180,5faeae52da433e0b7fc4b693,1982,39,Male,High school,2,Less than $1999,Republican,Amazon Prime / Amazon Music,,1,0,Sometimes,Sometimes,3,Yes,Yes,3,3,3,5,4,2,2,They should be charged the same amount,5,5,0
control,151,5fd3bb7cad1b7308da425651,1991,30,Male,Middle school,1,Less than $1999,Democrat,Netflix,,1,0,Sometimes,Sometimes,3,Yes,Yes,1,1,5,2,5,1,2,They should be charged the same amount,2,2,0
control,321,5ebc515b748b2107c54f9d38,1993,28,Male,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Most of the time,Sometimes,3,Yes,Yes,4,3,3,9,3,3,4,They should be charged the same amount,9,9,0
control,187,6119b78af52ae7701780d110,1999,22,Male,High school,2,Less than $1999,Democrat,,,0,0,,,0,Yes,No,4,2,4,10,4,3,4,User A,10,8,2
control,410,5e6387b1b7d70b10675e3a26,1976,45,Male,College / university,3,$10000 to $19999,Independent,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,1,5,10,5,1,4,User A,10,1,9
control,280,5c42803ea3e45a0001be6979,1992,29,Male,College / university,3,$2000 to $4999,Independent,"Disney Plus,HBO Max,Netflix",,2,0,Sometimes,Most of the time,4,Yes,No,3,2,5,5,5,3,4,They should be charged the same amount,5,5,0
control,144,5f2dcd2ccfe454102f662f95,1993,28,Male,College / university,3,Prefer not to say,Independent,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,3,4,10,4,2,4,They should be charged the same amount,10,10,0
control,161,5e4817a6e98da32bd77e901e,1997,24,Male,College / university,3,$5000 to $9999,Republican,"Amazon Prime / Amazon Music,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Most of the time,Most of the time,4,Yes,No,4,4,4,5,4,4,4,User B,6,8,-2
control,122,5f231fd28626c50a0512ad14,2002,19,Male,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Spotify",,2,1,Rarely,Sometimes,3,Yes,No,4,2,5,5,5,3,4,User A,5,4,1
control,283,5ee04a3f7dfcae39390e6553,1985,36,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Hulu,Netflix",,2,0,Sometimes,Most of the time,4,Yes,Yes,4,3,4,10,5,4,4,They should be charged the same amount,5,5,0
control,151,60ff8095fe0067960a67ab9b,2002,19,Male,High school,2,Less than $1999,Democrat,Netflix,,1,0,Sometimes,Sometimes,3,Yes,Yes,4,3,5,6,4,2,4,They should be charged the same amount,6,6,0
control,187,5fbb2540b981f7c1e0fca5ff,1980,41,Male,High school,2,$5000 to $9999,Independent,"Disney Plus,HBO Max",,2,0,Rarely,Rarely,2,Yes,No,2,2,5,10,5,2,4,They should be charged the same amount,10,10,0
control,164,614fa2d8176b0317b451cd0f,1992,29,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,2,4,5,5,5,2,2,They should be charged the same amount,5,5,0
control,203,5bedf436d9949b00013813fd,1997,24,Male,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,1,4,10,5,1,5,They should be charged the same amount,10,10,0
control,217,614de166ac5eff203d69b9cd,1981,40,Male,College / university,3,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,YouTube Premium / YouTube Music",,2,0,Rarely,Sometimes,3,Yes,No,3,1,4,5,5,1,4,They should be charged the same amount,5,5,0
control,331,5df15bc3361a8506b94f79ed,1988,33,Male,College / university,3,$2000 to $4999,Democrat,"Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,4,7,5,1,1,They should be charged the same amount,5,5,0
control,367,612fe8eea793af062a5fb2e0,1999,22,Male,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,3,2,3,7,2,4,4,They should be charged the same amount,7,7,0
control,210,60a2cf0845851125015f4c1e,1993,28,Male,Graduate school,4,Less than $1999,Independent,"Hulu,Netflix,YouTube Premium / YouTube Music",,2,0,Rarely,Sometimes,3,Yes,No,4,2,5,10,5,2,2,They should be charged the same amount,10,10,0
control,554,5ec12ad1759b78000a4f9965,1979,42,Male,Graduate school,4,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,2,4,8,5,2,4,They should be charged the same amount,8,8,0
control,261,5dbd597b2d098c2ac14806b2,1988,33,Male,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Paramount Plus,YouTube Premium / YouTube Music",,2,0,Sometimes,Most of the time,4,Yes,Yes,4,4,4,5,3,3,4,They should be charged the same amount,5,5,0
control,210,5ed1f281a0e7a4000ae547ce,2001,20,Male,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,4,10,4,3,4,They should be charged the same amount,10,10,0
control,679,5f73f37ed13ce303cc14ae35,1992,29,Male,College / university,3,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Netflix,YouTube Premium / YouTube Music",,2,0,Rarely,Sometimes,3,Yes,No,4,1,4,10,5,2,5,They should be charged the same amount,10,10,0
control,354,606604f1ca47696cf97529c0,1985,36,Male,College / university,3,$5000 to $9999,Republican,Netflix,,1,0,Rarely,Sometimes,3,Yes,No,4,2,4,10,5,2,3,They should be charged the same amount,10,10,0
control,302,5f9680c928b51354f0244d31,1994,27,Male,College / university,3,Prefer not to say,Democrat,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix",,2,0,Rarely,Rarely,2,Yes,No,3,1,4,6,4,3,3,They should be charged the same amount,6,6,0
control,123,6110cb9fd3ba23cecacc8fc4,2002,19,Male,High school,2,Less than $1999,Independent,"HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,2,4,5,3,3,4,User A,10,5,5
control,525,5f00e55a0b6653224c1946b0,1990,31,Male,College / university,3,$2000 to $4999,Republican,"Amazon Prime / Amazon Music,Hulu,Netflix,Peacock,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,2,16,4,2,3,User B,4,6,-2
control,215,610192790a0b93d937a58119,1997,24,Male,High school,2,Less than $1999,Independent,"Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,No,4,3,5,15,5,2,4,They should be charged the same amount,10,10,0
control,1995,559c192bfdf99b218a61f57f,1984,37,Male,College / university,3,$5000 to $9999,Democrat,"Disney Plus,Netflix",,2,0,Sometimes,Most of the time,4,Yes,Yes,4,4,4,10,3,2,3,They should be charged the same amount,10,10,0
control,256,566a19b57da035000fb39b89,1987,34,Male,College / university,3,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,HBO Max,Netflix",,2,0,Never,,0,Yes,Yes,2,3,5,5,5,1,1,They should be charged the same amount,5,5,0
control,395,611880d3d174718bfff2fd10,1999,22,Female,College / university,3,Less than $1999,Democrat,"Netflix,Spotify",,2,1,Most of the time,Most of the time,4,Yes,No,4,2,4,8,4,2,5,They should be charged the same amount,8,8,0
control,427,6176a5f31c3e3668b07681b5,1990,31,Male,High school,2,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock,Other",Starz showtime,2,0,Sometimes,Sometimes,3,Yes,No,4,2,3,10,4,3,2,They should be charged the same amount,5,4,1
treatment,230,55895042fdf99b5ccd435e79,1994,27,Female,College / university,3,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,4,10,4,2,5,They should be charged the same amount,10,10,0
treatment,136,614a414b5ae09058b43fc90b,2002,19,Male,High school,2,$10000 to $19999,Democrat,"Amazon Prime / Amazon Music,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,3,5,5,8,5,2,1,User A,8,5,3
treatment,201,60c4dac5d8bfe4e932c3117f,1983,38,Male,Graduate school,4,$20000 or more,Independent,"Amazon Prime / Amazon Music,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,4,4,5,7,5,1,4,They should be charged the same amount,7,7,0
treatment,158,60fdb3d2734f5dc8d2f16e65,1999,22,Female,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Spotify",,2,1,Rarely,Rarely,2,Yes,Yes,4,2,4,6,4,1,4,User A,6,4,2
treatment,196,60fd6ed24d3d9325c1a4ccb0,1986,35,Female,Graduate school,4,$5000 to $9999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Peacock,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,4,4,5,12,4,2,4,User A,12,7,5
treatment,145,5d55d5e9411ff600193d2e9a,2000,21,Female,College / university,3,$10000 to $19999,Democrat,Spotify,,1,1,Sometimes,Most of the time,4,Yes,Yes,4,4,5,7,5,2,4,They should be charged the same amount,7,7,0
treatment,209,60fdc3854976e702a93ae58f,2001,20,Female,High school,2,Less than $1999,Democrat,"Hulu,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,2,7,5,2,4,User A,7,3,4
treatment,148,6114915a60433769462cfba9,2000,21,Female,College / university,3,Less than $1999,Independent,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock",,2,0,Sometimes,Sometimes,3,Yes,Yes,3,4,5,6,4,1,4,User A,2,6,-4
treatment,174,611439703342f19d283f90c0,2000,21,Female,High school,2,Less than $1999,Independent,"Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,2,4,5,12,4,2,3,User A,12,10,2
treatment,173,61646315e64ac14a9955bf4d,1999,22,Male,College / university,3,$20000 or more,Independent,"Hulu,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,5,12,4,2,5,User A,13,9,4
treatment,289,5b4a54b4ee41890001ae51b6,1987,34,Male,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix",,2,0,Never,,0,Yes,Yes,1,3,5,13,5,3,1,They should be charged the same amount,13,13,0
treatment,217,60fccbb73c51e6d3af5fca5c,1984,37,Female,College / university,3,Less than $1999,Independent,"Amazon Prime / Amazon Music,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,2,2,4,7,5,1,4,They should be charged the same amount,7,7,0
treatment,224,61118e4f1eba9c8dfb5c69ba,2000,21,Female,College / university,3,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,Yes,5,5,5,10,5,2,4,They should be charged the same amount,10,10,0
treatment,156,600cd4d529e4543bb80e3c58,1993,28,Male,High school,2,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,3,2,4,10,5,2,2,They should be charged the same amount,10,10,0
treatment,196,6008f56426fab434e0eb13df,2000,21,Female,High school,2,Prefer not to say,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,4,3,4,3,5,2,3,They should be charged the same amount,3,3,0
treatment,143,5e3f3ebc0fa771000bd26166,1995,26,Male,Graduate school,4,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify,YouTube Premium / YouTube Music",,2,1,Never,,0,Yes,Yes,2,4,5,10,5,1,3,They should be charged the same amount,10,10,0
treatment,213,6102195038f3ffcb73225853,1999,22,Male,High school,2,Less than $1999,Republican,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,5,5,5,1,4,They should be charged the same amount,5,5,0
treatment,201,5e3a179221d603235d3f85e3,1976,45,Male,College / university,3,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,2,3,5,10,5,2,2,They should be charged the same amount,10,10,0
treatment,199,5e1a7114a90da52e206de7ea,1988,33,Male,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Hulu,Netflix",,2,0,Rarely,Never,1,Yes,Yes,2,2,4,5,4,2,2,They should be charged the same amount,5,5,0
treatment,153,6019f1c55ae80c1edff5faa0,1998,23,Female,College / university,3,$2000 to $4999,Something else,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Peacock,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,3,3,4,10,5,1,2,They should be charged the same amount,10,10,0
treatment,180,5af9fab60a7ecb00011820b8,1993,28,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Netflix",,2,0,Rarely,Sometimes,3,Yes,Yes,3,3,4,3,4,2,3,They should be charged the same amount,3,3,0
treatment,529,574dc90512d86b000f833ab0,1986,35,Male,High school,2,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Paramount Plus,Peacock,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,3,4,4,9,4,2,4,They should be charged the same amount,9,9,0
treatment,335,5f6e50b66df91337616891fe,1991,30,Female,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Apple Music,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,4,10,4,4,4,They should be charged the same amount,10,10,0
treatment,166,56c89c761d066b000c473879,1992,29,Female,Graduate school,4,$5000 to $9999,Something else,"Amazon Prime / Amazon Music,YouTube Premium / YouTube Music",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,4,5,10,5,1,4,They should be charged the same amount,10,10,0
treatment,166,5f970d4552da08066b26476b,1995,26,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Rarely,Rarely,2,Yes,Yes,3,3,4,10,5,2,4,They should be charged the same amount,10,10,0
treatment,175,5f498bd805e9363d03b3f76a,1989,32,Male,College / university,3,Prefer not to say,Independent,"Amazon Prime / Amazon Music,Disney Plus",,2,0,Rarely,Sometimes,3,Yes,Yes,4,4,4,9,3,4,4,User B,8,9,-1
treatment,294,60ff0845b54c4e237acd7070,2000,21,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Hulu,Netflix,Spotify",,2,1,Sometimes,Rarely,2,Yes,Yes,4,4,5,10,5,1,3,They should be charged the same amount,10,10,0
treatment,298,5a0d1f2cfe645f0001e9f7ca,1989,32,Male,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,2,2,5,10,5,3,3,They should be charged the same amount,10,10,0
treatment,242,60961fd25d036b035bbaff5e,1986,35,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,3,4,5,10,4,1,3,They should be charged the same amount,1,1,0
treatment,320,6075de508f29f9fa8a26be24,1992,29,Female,College / university,3,Less than $1999,Prefer not to say,"Amazon Prime / Amazon Music,Disney Plus,Netflix",,2,0,Rarely,Never,1,Yes,Yes,1,2,5,2,4,3,4,User A,2,1,1
treatment,120,61113e7b002893aa76ff6e8e,2000,21,Non-binary / third gender,College / university,3,$10000 to $19999,Independent,"Amazon Prime / Amazon Music,HBO Max,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,3,3,5,10,5,4,2,User A,10,5,5
treatment,189,6111812b5da50cf8fc44b961,2000,21,Female,College / university,3,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Netflix",,2,0,Rarely,Sometimes,3,Yes,Yes,4,4,5,7,5,2,4,They should be charged the same amount,7,7,0
treatment,190,5c74e714fc0a2500168face3,2000,21,Female,College / university,3,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,4,4,5,8,5,1,2,They should be charged the same amount,8,8,0
treatment,137,60fda85bb6196efae1e3a29b,1997,24,Female,Graduate school,4,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Most of the time,4,Yes,Yes,3,1,2,7,3,4,5,They should be charged the same amount,7,7,0
treatment,180,5ddb58c61f179ea91098c6c1,1987,34,Female,College / university,3,$5000 to $9999,Democrat,"Disney Plus,Netflix",,2,0,Never,,0,Yes,Yes,4,4,5,3,5,1,2,They should be charged the same amount,3,3,0
treatment,753,603bef3bffe72f8b0a6b55c4,1994,27,Male,High school,2,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,Spotify",,2,1,Sometimes,Rarely,2,Yes,Yes,2,5,5,3,5,1,1,They should be charged the same amount,3,3,0
treatment,559,5d21dd64851927001e3a5032,1992,29,Female,High school,2,Less than $1999,Republican,"HBO Max,Netflix,Peacock,Spotify",,2,1,Most of the time,Sometimes,3,Yes,Yes,3,3,4,13,3,2,5,They should be charged the same amount,20,20,0
treatment,223,6074391ef6527366aa827f42,2002,19,Female,High school,2,Less than $1999,Democrat,"Apple Music,Disney Plus,Hulu,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,3,5,5,4,4,4,User B,5,8,-3
treatment,238,60ecdf83fe558bac79ff23c4,1986,35,Female,High school,2,$2000 to $4999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix",,2,0,Sometimes,Rarely,2,Yes,Yes,4,4,5,20,5,1,5,They should be charged the same amount,10,10,0
treatment,175,5f6531752676190a2ac1b2bc,1981,40,Female,High school,2,Less than $1999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Hulu,Netflix,Pandora,Paramount Plus,Peacock,YouTube Premium / YouTube Music",,2,0,Rarely,Sometimes,3,Yes,Yes,3,4,5,10,5,1,3,They should be charged the same amount,10,10,0
treatment,199,5f52afc954863a5bd06a1665,1987,34,Female,Graduate school,4,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,HBO Max,Netflix,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,5,10,3,4,4,They should be charged the same amount,10,10,0
treatment,167,5c7dcd11f066ff001568e56a,1993,28,Female,College / university,3,Less than $1999,Independent,Netflix,,1,0,Rarely,Rarely,2,Yes,Yes,4,4,5,8,5,1,3,They should be charged the same amount,8,8,0
treatment,194,6004f2c9a814f031f50a5562,1992,29,Female,College / university,3,$2000 to $4999,Democrat,"Hulu,Netflix",,2,0,Never,,0,Yes,Yes,3,4,5,4,5,1,5,They should be charged the same amount,4,4,0
treatment,174,6148fe3ea15ce594ba0a1655,1996,25,Female,Graduate school,4,$2000 to $4999,Democrat,"Amazon Prime / Amazon Music,Apple Music,Disney Plus,Hulu,Netflix",,2,0,Sometimes,Most of the time,4,Yes,Yes,3,4,5,10,2,2,1,They should be charged the same amount,10,10,0
treatment,141,5d37de63b78497001ad6b44b,1977,44,Female,College / university,3,$5000 to $9999,Republican,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Netflix,Peacock,Spotify",,2,1,Never,,0,Yes,Yes,3,3,3,8,5,3,2,They should be charged the same amount,8,8,0
treatment,245,60fe17d403e7873f58d332e9,1998,23,Female,College / university,3,$2000 to $4999,Democrat,"Apple Music,Disney Plus,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,4,4,3,10,5,2,4,They should be charged the same amount,10,10,0
treatment,136,5efe1ba6649c910ffdd56c6a,1991,30,Male,College / university,3,Less than $1999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Spotify",,2,1,Rarely,Sometimes,3,Yes,Yes,3,4,5,8,4,2,2,User A,8,5,3
treatment,292,5f406d28899a9b1a9ddd609a,1979,42,Female,College / university,3,$5000 to $9999,Independent,"Amazon Prime / Amazon Music,Disney Plus,HBO Max,Hulu,Netflix,Peacock,Spotify",,2,1,Sometimes,Sometimes,3,Yes,Yes,4,4,5,8,4,1,4,User A,8,2,6
treatment,582,5c31f92c23f1c60001a6a3e8,1995,26,Female,High school,2,$5000 to $9999,Independent,"Hulu,Netflix",,2,0,Sometimes,Sometimes,3,Yes,Yes,3,3,2,5,5,2,3,They should be charged the same amount,5,5,0
